year,price,mileage,tax,mpg,engineSize,model,fuelType,transmission
2017,19600,19027,145,48.7,2.0,3,0,1
2017,8700,32204,30,55.4,1.0,0,4,1
2018,12700,15705,145,57.7,1.0,6,4,1
2015,11500,32660,150,52.3,2.0,13,0,2
2018,9700,12904,150,64.2,1.1,5,4,1
2017,15500,24610,150,67.3,2.0,6,0,1
2018,14000,35548,150,64.2,1.5,13,0,1
2017,11000,10278,20,61.4,1.0,6,4,1
2014,7200,23594,0,65.7,1.0,5,4,1
2018,11000,29954,150,62.8,1.0,5,4,1
2018,12199,8259,145,65.7,1.0,5,4,1
2018,12679,3590,145,65.7,1.0,5,4,1
2017,14719,22212,145,60.1,2.0,13,0,1
2015,8629,38722,20,61.4,1.0,6,4,1
2017,11299,22224,145,62.8,1.0,5,4,1
2019,16499,8110,145,51.4,1.5,6,4,1
2018,11899,4657,145,60.1,1.0,6,4,1
2013,6120,64960,145,47.9,1.6,6,4,1
2017,9830,26340,145,61.4,1.0,6,4,1
2015,7770,24074,0,65.7,1.0,5,4,1
2017,7600,14630,145,54.3,1.2,5,4,1
2015,7000,37650,0,65.7,1.0,5,4,1
2017,11370,14090,145,74.3,1.5,6,0,1
2015,7930,39000,0,65.7,1.0,5,4,1
2018,15000,16083,145,58.9,1.0,6,4,1
2018,9995,17448,145,55.4,1.1,5,4,1
2018,12995,11489,145,57.7,1.0,6,4,1
2018,10995,11990,145,58.9,1.0,5,4,1
2016,8495,25339,30,55.4,1.0,0,4,1
2018,13710,25623,145,58.9,1.0,6,4,1
2016,8500,50605,0,74.3,1.5,6,0,1
2018,11699,6166,145,65.7,1.0,5,4,1
2018,11989,9088,145,60.1,1.0,6,4,1
2017,17994,17001,145,41.5,2.0,6,4,1
2018,10999,14245,145,65.7,1.0,5,4,1
2018,13084,5681,145,65.7,1.0,5,4,1
2019,25799,3871,145,50.4,2.0,6,0,1
2019,14999,3575,145,60.1,1.0,5,4,1
2017,8864,35399,30,64.2,1.5,2,0,1
2018,13299,10000,145,57.7,1.0,6,4,1
2018,13499,5635,145,58.9,1.0,5,4,1
2019,16995,10269,145,80.7,1.5,6,0,1
2019,11995,11882,145,58.9,1.0,5,4,1
2016,10295,8507,0,57.7,1.0,5,4,2
2019,16795,877,145,55.4,1.0,5,4,1
2018,11795,13645,145,62.8,1.0,5,4,1
2017,14995,26097,150,64.2,1.5,13,0,1
2013,6995,31472,30,57.7,1.0,0,4,1
2017,14995,14059,30,64.2,1.5,13,0,1
2017,9495,10386,145,65.7,1.0,5,4,1
2015,9200,22640,0,65.7,1.0,5,4,1
2018,10620,13240,145,65.7,1.0,5,4,1
2016,9480,26435,0,65.7,1.0,5,4,1
2017,23380,4426,145,48.7,2.0,3,0,2
2017,10420,39039,145,74.3,1.5,6,0,1
2016,10550,70729,125,58.9,2.0,14,0,2
2019,18750,5252,145,51.4,1.5,6,4,1
2018,19400,8973,145,41.5,2.0,6,4,1
2017,11360,27961,145,74.3,1.5,6,0,1
2018,11000,32675,145,56.5,1.0,5,4,1
2018,11160,20372,145,56.5,1.0,5,4,1
2018,10595,20106,145,65.7,1.0,5,4,1
2018,13495,10335,145,57.7,1.0,6,4,1
2019,15995,9304,145,60.1,1.0,6,4,1
2017,11795,23572,125,51.4,1.5,6,4,1
2018,9295,5730,145,47.9,1.2,12,4,1
2018,21495,35482,145,48.7,2.0,3,0,2
2017,14450,13450,145,38.2,1.5,13,4,0
2018,18787,15464,145,41.5,2.0,6,4,1
2018,13000,11589,145,74.3,1.5,6,0,1
2017,12250,18138,145,60.1,1.0,6,4,1
2018,14260,11296,145,58.9,1.0,6,4,1
2019,14480,11903,145,58.9,1.0,5,4,1
2019,14310,13500,145,58.9,1.0,5,4,1
2019,15880,7932,145,80.7,1.5,6,0,1
2018,11660,46995,145,60.1,1.0,6,4,1
2018,11250,22175,145,56.5,1.0,5,4,1
2014,5810,59858,30,54.3,1.2,5,4,1
2017,8680,41491,145,65.7,1.0,5,4,1
2019,21790,11567,145,37.7,2.0,13,0,1
2019,16610,7128,145,55.4,1.0,5,4,1
2019,19890,8500,145,47.9,2.0,13,0,1
2019,19460,13850,145,47.9,2.0,13,0,1
2019,19450,14010,145,47.9,2.0,13,0,1
2019,17500,28957,145,47.9,2.0,13,0,1
2019,19560,11028,145,47.9,2.0,13,0,1
2019,11840,7259,145,58.9,1.0,5,4,1
2019,18680,8900,145,74.3,1.5,6,0,0
2019,16500,1010,145,80.7,1.5,6,0,1
2018,12400,5343,145,60.1,1.0,6,4,1
2018,15800,20871,145,67.3,2.0,6,0,1
2019,17620,120,145,45.6,1.0,2,4,0
2015,7700,38822,0,65.7,1.0,5,4,1
2017,8800,20226,145,65.7,1.0,5,4,1
2017,7510,21103,125,54.3,1.2,5,4,1
2019,12390,4000,145,58.9,1.0,5,4,1
2018,11450,14377,145,56.5,1.0,5,4,1
2016,14310,52216,125,56.5,2.0,18,0,1
2017,11990,27948,145,46.3,1.5,6,4,0
2014,8810,23858,0,57.7,1.0,5,4,2
2017,10200,13219,0,74.3,1.5,6,0,1
2017,11250,23817,0,57.7,1.0,5,4,2
2017,12590,14478,0,74.3,1.5,6,0,2
2017,10230,28158,20,62.8,1.0,5,4,1
2019,14995,15,145,58.9,1.0,5,4,1
2019,14995,15,145,55.4,1.0,5,4,1
2018,13995,6961,145,65.7,1.0,5,4,1
2019,14995,15,145,58.9,1.0,5,4,1
2019,15995,15,145,58.9,1.0,5,4,1
2019,14995,15,145,58.9,1.0,5,4,1
2019,25950,16,145,34.5,2.3,6,4,1
2019,15995,10000,145,56.5,1.5,1,0,0
2016,8695,32346,0,65.7,1.0,5,4,1
2017,15995,19071,145,67.3,2.0,6,0,1
2019,20700,12501,145,39.2,2.0,13,0,1
2017,14020,18213,145,60.1,2.0,13,0,1
2019,15950,9572,145,80.7,1.5,6,0,1
2019,15320,8739,145,60.1,1.0,6,4,1
2019,16990,3765,145,48.7,1.0,5,4,0
2017,9191,37722,20,68.9,1.5,1,0,1
2017,16767,14203,145,67.3,2.0,6,0,1
2019,17690,11742,145,52.3,1.0,2,4,1
2018,7520,19318,145,57.7,1.2,12,4,1
2019,18800,8837,145,47.9,2.0,13,0,1
2016,17995,28288,125,56.5,2.0,8,0,1
2014,7997,42792,30,56.5,1.0,6,4,1
2014,7771,28338,145,47.9,1.6,5,4,2
2016,7997,21000,125,54.3,1.2,5,4,1
2016,8397,29500,0,65.7,1.0,5,4,1
2015,10494,24025,145,47.9,1.6,5,4,1
2016,10500,19500,125,52.3,1.0,2,4,1
2014,7697,36100,0,65.7,1.0,5,4,1
2014,8997,28000,0,57.7,1.0,5,4,2
2015,18992,16400,260,35.8,2.0,18,4,0
2017,10020,15133,20,62.8,1.0,5,4,1
2014,10497,43068,145,53.3,2.0,13,0,1
2017,9230,4218,125,54.3,1.2,5,4,1
2017,8691,58111,30,64.2,1.5,9,0,1
2017,16065,11087,125,60.1,2.0,13,0,1
2016,10270,40729,20,68.9,1.5,1,0,1
2014,7080,35879,30,56.5,1.0,6,4,1
2015,8725,73506,125,60.1,2.0,13,0,1
2016,6592,64753,0,78.5,1.5,5,0,1
2015,6982,35847,0,65.7,1.0,5,4,1
2018,8800,21022,150,64.2,1.1,5,4,1
2015,10490,15392,20,60.1,1.0,6,4,1
2013,6990,39213,0,65.7,1.0,5,4,1
2017,16980,24290,200,41.5,2.0,6,4,1
2018,14920,5373,145,58.9,1.0,5,4,1
2018,10370,21572,145,56.5,1.0,5,4,1
2018,10240,32501,145,60.1,1.0,6,4,1
2015,8130,41232,20,67.3,1.6,6,0,1
2018,10460,26368,145,65.7,1.0,5,4,1
2017,11890,29678,145,54.3,2.0,13,0,1
2016,9997,9000,145,47.9,1.6,5,4,2
2014,7669,21700,145,47.9,1.6,5,4,2
2013,7767,20000,145,47.9,1.6,5,4,2
2015,7777,7939,30,54.3,1.2,5,4,1
2014,9881,17610,145,47.9,1.6,5,4,1
2016,10333,15800,20,62.8,1.0,5,4,1
2017,7969,4750,125,54.3,1.2,5,4,1
2017,11494,19745,145,47.9,1.6,5,4,1
2016,9839,11717,20,62.8,1.0,5,4,1
2016,9292,19350,20,62.8,1.0,5,4,1
2017,8990,67336,150,47.9,1.6,5,4,1
2017,15300,27256,125,60.1,2.0,13,0,1
2017,14990,31598,150,60.1,2.0,13,0,1
2018,10390,5402,150,64.2,1.1,5,4,1
2016,6190,13728,30,57.7,1.2,11,4,1
2016,8995,39968,125,52.3,1.0,2,4,1
2016,17995,34688,200,47.9,2.0,3,0,1
2019,14995,6093,145,60.1,1.0,6,4,1
2016,9950,16756,20,62.8,1.0,5,4,1
2017,8495,14640,145,57.7,1.2,12,4,1
2017,15575,19794,125,60.1,2.0,13,0,1
2017,10480,30526,0,74.3,1.5,6,0,1
2017,14545,32813,125,60.1,2.0,13,0,1
2018,13500,8134,145,57.7,1.0,6,4,1
2017,14990,32717,160,45.6,1.5,13,4,1
2017,15300,24477,125,60.1,2.0,13,0,1
2017,6830,16207,145,57.7,1.2,12,4,1
2016,13320,29597,30,62.8,2.0,14,0,1
2017,10510,11961,20,62.8,1.0,5,4,1
2014,7020,16463,30,54.3,1.2,5,4,1
2018,16991,15956,145,64.2,1.5,13,0,1
2018,10790,26357,145,65.7,1.0,5,4,1
2018,17500,20881,145,67.3,2.0,6,0,1
2018,14690,4352,145,54.3,1.0,2,4,1
2018,6990,15472,145,57.7,1.2,12,4,1
2017,11790,13239,145,74.3,1.5,6,0,1
2017,14290,23444,145,64.2,1.5,13,0,1
2018,8500,38779,145,64.2,1.1,5,4,1
2018,11790,31476,145,54.3,1.0,5,4,2
2019,15290,7144,150,58.9,1.0,5,4,1
2018,14290,13263,150,65.7,1.0,5,4,1
2019,33591,1537,150,37.2,2.0,3,0,2
2018,11200,11997,145,65.7,1.0,5,4,1
2018,9790,13170,150,65.7,1.0,5,4,1
2018,15000,17119,150,64.2,1.5,13,0,1
2018,12990,20425,150,57.7,1.0,6,4,1
2018,15990,17105,150,47.9,2.0,13,0,1
2018,10790,11924,150,65.7,1.0,5,4,1
2018,14990,8895,150,65.7,1.0,5,4,1
2015,5790,47281,125,54.3,1.2,5,4,1
2017,10690,17113,145,61.4,1.0,6,4,1
2015,6690,76216,20,61.4,1.0,6,4,1
2015,7990,28971,20,60.1,1.0,6,4,1
2019,25990,12567,145,54.3,2.0,18,0,1
2018,8990,9616,145,64.2,1.1,5,4,1
2018,9700,8335,145,65.7,1.0,5,4,1
2018,18765,17039,145,41.5,2.0,6,4,1
2018,18500,12514,145,41.5,2.0,6,4,1
2016,8200,23002,0,74.4,1.5,0,0,1
2018,10990,24674,145,65.7,1.0,5,4,1
2017,11490,4873,30,55.4,1.0,1,4,1
2018,12290,8067,150,60.1,1.0,6,4,1
2014,6790,51341,30,56.5,1.0,6,4,1
2018,12990,13470,150,74.3,1.5,6,0,1
2019,18500,5787,150,54.3,1.5,13,0,1
2016,9790,16942,125,52.3,1.0,2,4,1
2016,7790,54503,0,65.7,1.0,5,4,1
2018,9790,9575,150,64.2,1.1,5,4,1
2014,6490,29607,30,54.3,1.2,5,4,1
2018,11800,12621,145,60.1,1.0,6,4,1
2018,9690,10567,145,64.2,1.1,5,4,1
2017,16500,27653,145,54.3,2.0,13,0,2
2018,11500,5505,145,65.7,1.0,5,4,1
2018,18500,16970,145,41.5,2.0,6,4,1
2017,10901,12890,145,65.7,1.0,5,4,1
2018,8490,24792,150,64.2,1.1,5,4,1
2018,17990,7519,145,41.5,2.0,6,4,1
2018,20990,12365,145,54.3,2.0,13,0,2
2016,15290,26543,145,54.3,2.0,13,0,1
2016,9990,32618,0,74.3,1.5,6,0,2
2019,17990,5298,150,60.1,1.0,6,4,1
2018,11990,23915,150,60.1,1.0,6,4,1
2017,9500,24013,150,65.7,1.0,5,4,1
2018,15790,46286,150,41.5,2.0,6,4,1
2018,11990,12956,150,60.1,1.0,6,4,1
2018,9990,10691,150,64.2,1.1,5,4,1
2018,13190,22786,150,51.4,1.5,6,4,1
2019,11690,13,150,58.9,1.0,5,4,1
2015,7790,35155,0,65.7,1.0,5,4,1
2018,9700,8769,145,64.2,1.1,5,4,1
2018,12000,7760,145,65.7,1.0,5,4,1
2018,11290,13585,145,65.7,1.0,5,4,1
2018,13790,4979,145,54.3,1.0,2,4,1
2018,11690,12127,145,65.7,1.0,5,4,1
2019,18591,2341,145,48.7,1.0,5,4,2
2014,8500,23800,30,56.5,1.0,6,4,1
2018,12990,11785,145,60.1,1.0,6,4,1
2018,15500,7310,145,54.3,1.0,2,4,1
2018,11690,8156,145,65.7,1.0,5,4,1
2018,17500,2908,145,60.1,1.0,6,4,1
2019,30000,623,145,43.5,2.0,18,0,2
2019,28000,7400,145,54.3,2.0,18,0,1
2019,17200,5989,145,60.1,1.0,6,4,1
2019,15500,7504,145,61.4,1.0,5,4,1
2018,11500,31520,145,65.7,1.0,5,4,1
2019,17500,11211,145,48.7,1.0,6,4,0
2017,12000,18605,145,65.7,1.0,5,4,1
2019,19500,4596,145,54.3,1.5,13,0,1
2018,10500,25367,145,58.9,1.0,5,4,1
2018,12000,14917,145,60.1,1.0,6,4,1
2018,10000,13691,145,65.7,1.0,5,4,1
2018,11500,2729,145,58.9,1.0,5,4,1
2016,8400,28000,125,54.3,1.2,5,4,1
2018,10800,15356,145,65.7,1.0,5,4,1
2018,10500,8363,145,58.9,1.0,5,4,1
2018,10000,15682,145,65.7,1.0,5,4,1
2018,13700,12686,145,57.7,1.0,6,4,1
2014,7000,73883,30,62.8,2.0,14,0,1
2016,10500,40016,125,60.1,2.0,13,0,1
2018,11500,13820,145,65.7,1.0,5,4,1
2016,17000,17456,20,67.3,2.0,6,0,1
2018,10500,6042,145,64.2,1.1,5,4,1
2018,17900,37411,145,56.5,2.0,8,0,1
2017,15500,13240,150,60.1,2.0,13,0,1
2013,7200,36914,30,57.7,1.0,0,4,1
2015,7500,23658,125,54.3,1.2,5,4,1
2018,10499,11143,145,65.7,1.0,5,4,1
2018,11695,12874,150,65.7,1.0,5,4,1
2013,6500,61074,150,53.3,2.0,14,0,1
2017,10500,21718,150,60.1,1.0,6,4,1
2015,6700,52353,30,54.3,1.2,5,4,1
2018,24000,9412,150,47.9,2.0,3,0,2
2017,16500,30190,150,60.1,2.0,13,0,1
2017,18200,15210,150,54.3,2.0,13,0,1
2017,10200,29805,150,60.1,1.0,6,4,1
2018,10800,19153,145,65.7,1.0,5,4,1
2017,10200,23403,145,65.7,1.0,5,4,1
2018,15500,9500,145,51.4,1.0,2,4,1
2018,8990,15141,150,64.2,1.1,5,4,1
2019,18500,8913,145,35.3,1.5,13,4,1
2017,9500,18928,145,64.2,1.1,5,4,1
2018,15000,15918,145,60.1,1.0,6,4,1
2018,18200,21930,150,39.2,1.5,13,4,1
2017,10000,27064,160,44.8,1.5,2,4,1
2018,19000,12130,145,41.5,2.0,6,4,1
2018,12000,20045,145,74.3,1.5,6,0,1
2016,11500,15565,20,64.2,1.5,1,0,2
2017,9200,45500,150,85.6,1.5,5,0,1
2015,6800,19784,125,54.3,1.2,5,4,1
2017,11175,6745,145,65.7,1.0,5,4,1
2014,6990,23521,160,44.1,1.6,0,4,2
2018,19272,18472,150,54.3,2.0,13,0,2
2017,11795,30564,145,58.9,1.0,6,4,1
2014,12750,33202,235,39.2,2.0,6,4,1
2016,20490,20331,200,47.9,2.0,3,0,2
2016,9795,15000,0,65.7,1.0,5,4,1
2017,10795,13000,145,65.7,1.0,5,4,1
2015,10795,10500,30,55.4,1.0,1,4,1
2017,10295,8000,150,64.2,1.5,2,0,1
2017,10699,9896,145,57.7,1.0,5,4,2
2017,9377,26775,125,52.3,1.0,2,4,1
2018,13100,8419,145,62.8,1.0,5,4,1
2018,10800,5110,145,64.2,1.1,5,4,1
2018,12700,14380,145,65.7,1.0,5,4,1
2018,11600,12836,145,65.7,1.0,5,4,1
2017,16300,15883,145,60.1,2.0,13,0,1
2017,10975,23149,145,53.3,1.0,2,4,1
2018,18000,37085,145,56.5,2.0,8,0,1
2018,10600,33080,145,65.7,1.0,5,4,1
2017,12000,14916,0,57.7,1.0,5,4,2
2018,16000,1520,145,67.3,1.5,2,0,1
2019,18000,1793,145,55.4,1.0,5,4,1
2018,15299,12315,145,50.4,1.0,6,4,0
2019,16000,3557,145,55.4,1.0,5,4,1
2019,16499,13728,145,49.6,1.0,6,4,1
2019,19000,12859,145,41.5,1.0,6,4,0
2019,15299,9742,145,60.1,1.0,6,4,1
2019,16000,10263,145,58.9,1.0,6,4,1
2018,16000,12702,145,58.9,1.0,6,4,1
2017,11995,15000,145,60.1,1.0,6,4,1
2018,17000,11910,145,58.9,1.0,6,4,1
2019,25000,4688,145,42.2,2.0,13,0,2
2018,24499,8339,145,52.3,2.0,8,0,0
2019,14000,3889,145,56.5,1.0,5,4,1
2019,15000,9988,145,58.9,1.0,5,4,1
2018,19000,15647,145,57.7,2.0,14,0,0
2015,11499,31302,30,64.2,2.0,14,0,1
2018,16000,9699,145,58.9,1.0,6,4,1
2018,23499,4753,145,56.5,2.0,8,0,1
2017,19000,17501,145,60.1,2.0,13,0,1
2018,24999,27215,150,47.9,2.0,3,0,2
2018,19499,24297,145,54.3,2.0,13,0,1
2019,17000,9960,145,60.1,1.0,6,4,1
2018,17000,4853,145,60.1,1.0,6,4,1
2018,13495,11852,145,53.3,1.0,2,4,1
2016,18700,21476,205,47.9,2.0,3,0,1
2016,8750,39556,20,60.1,1.0,6,4,1
2018,18400,9929,150,54.3,1.5,13,0,1
2018,10308,31997,145,65.7,1.0,5,4,1
2019,16470,9083,145,60.1,1.0,6,4,1
2019,18299,731,145,60.1,1.0,6,4,1
2019,10499,4893,145,47.9,1.2,12,4,1
2019,11000,4485,145,47.9,1.2,12,4,1
2019,11000,1645,145,47.9,1.2,12,4,1
2019,11299,3439,145,47.9,1.2,12,4,1
2017,8000,10084,145,57.7,1.2,12,4,1
2019,19000,4325,145,52.3,1.0,2,4,1
2017,11000,10981,20,61.4,1.0,6,4,1
2017,12499,4277,145,62.8,1.0,5,4,1
2017,12499,10276,145,60.1,1.0,6,4,1
2019,14000,1384,145,48.7,1.1,5,4,1
2019,14000,1559,145,48.7,1.1,5,4,1
2019,14000,886,145,48.7,1.1,5,4,1
2018,20000,13856,145,41.5,2.0,6,4,1
2018,15000,10549,145,54.3,1.0,2,4,1
2018,8000,4750,145,57.7,1.2,12,4,1
2018,7799,8169,145,57.7,1.2,12,4,1
2018,8000,4977,145,57.7,1.2,12,4,1
2020,23000,363,145,50.4,1.0,16,4,1
2017,9799,23337,0,65.7,1.0,5,4,1
2018,16999,7530,145,80.7,1.5,6,0,1
2019,14000,4336,145,58.9,1.0,5,4,1
2019,17000,1743,145,64.2,1.5,2,0,1
2019,15000,5842,145,80.7,1.5,6,0,1
2017,17000,15555,145,54.3,2.0,13,0,1
2017,10000,28969,145,65.7,1.0,5,4,1
2014,7499,17551,0,65.7,1.0,5,4,1
2018,10699,2618,145,43.5,1.2,12,4,1
2017,9200,7391,0,65.7,1.0,5,4,1
2019,15000,1035,145,58.9,1.0,5,4,1
2018,10700,3475,145,64.2,1.1,5,4,1
2019,16000,8325,145,58.9,1.0,6,4,1
2018,10000,5846,145,47.9,1.2,12,4,1
2019,14000,1459,145,48.7,1.1,5,4,1
2015,8070,13324,30,54.3,1.2,5,4,1
2016,9710,21314,20,62.8,1.0,5,4,1
2013,4995,74015,20,67.3,1.6,6,0,1
2015,5420,12809,30,57.7,1.2,11,4,1
2018,12030,18770,145,57.7,1.0,6,4,1
2015,11414,20486,20,67.3,2.0,14,0,1
2015,5800,71200,0,78.5,1.5,5,0,1
2016,7795,46891,0,65.7,1.0,5,4,1
2016,15995,73079,160,48.7,2.0,3,0,1
2019,14995,5806,145,53.3,1.0,2,4,1
2018,12600,23164,145,74.3,1.5,6,0,1
2018,12750,7026,145,65.7,1.0,5,4,1
2018,12600,9674,145,65.7,1.0,5,4,1
2018,10500,15675,145,65.7,1.0,5,4,1
2019,19500,23,145,65.7,2.0,14,0,1
2019,19500,33,145,65.7,2.0,14,0,1
2015,7495,31945,0,65.7,1.0,5,4,1
2016,9950,21105,0,78.5,1.5,5,0,1
2016,8250,24220,0,65.7,1.0,5,4,1
2019,14995,51,145,58.9,1.0,5,4,1
2019,13495,6000,145,58.9,1.5,5,0,1
2019,23995,400,145,47.9,2.0,13,0,0
2019,16995,6000,145,53.3,1.0,2,4,1
2015,7245,46510,30,55.4,1.0,0,4,1
2016,18995,11850,125,56.5,2.0,8,0,1
2019,9695,10040,145,43.5,1.2,12,4,1
2018,13495,11395,145,65.7,1.0,5,4,1
2017,8995,34682,145,65.7,1.0,5,4,1
2017,8795,25456,145,65.7,1.0,5,4,1
2017,11000,27530,20,60.1,1.0,6,4,1
2017,8799,18378,125,54.3,1.2,5,4,1
2018,15699,10000,145,62.8,1.0,5,4,1
2018,11000,7485,145,65.7,1.0,5,4,1
2016,10000,17431,20,62.8,1.0,5,4,1
2018,8995,10,145,47.9,1.2,12,4,1
2018,9495,6275,145,47.9,1.2,12,4,1
2018,13995,7380,145,55.4,1.0,5,4,1
2017,7495,29815,30,57.7,1.2,12,4,1
2018,16495,6225,145,40.3,1.5,5,4,1
2018,13995,9720,145,58.9,1.5,2,0,1
2019,23995,3000,145,40.4,2.0,3,0,0
2019,13495,700,145,58.9,1.0,5,4,1
2016,5495,22280,30,57.7,1.2,11,4,1
2018,11500,11053,145,65.7,1.0,5,4,1
2019,16200,12263,145,49.6,1.0,6,4,1
2019,16073,12820,145,60.1,1.0,6,4,1
2019,15800,9379,145,58.9,1.0,6,4,1
2019,14995,6330,145,60.1,1.0,6,4,1
2017,11995,5720,145,54.3,1.0,5,4,0
2018,15995,4835,145,58.9,1.5,2,0,1
2019,25950,25,145,34.5,2.3,6,4,1
2019,16995,20,145,60.1,1.5,1,0,1
2018,11018,34938,145,65.7,1.0,5,4,1
2017,11900,11574,0,74.3,1.5,6,0,1
2018,12000,17225,145,61.4,1.0,6,4,1
2017,9000,18734,145,54.3,1.2,5,4,1
2018,10300,9300,145,64.2,1.1,5,4,1
2018,10600,21760,145,65.7,1.0,5,4,1
2016,9980,29122,150,47.9,1.6,5,4,1
2017,10380,12847,0,65.7,1.0,5,4,1
2017,9980,29927,145,74.3,1.5,6,0,2
2016,9533,17457,0,57.7,1.0,5,4,2
2018,8290,11931,145,57.7,1.2,12,4,1
2017,10699,7573,145,52.3,1.0,2,4,1
2015,6999,60063,20,62.8,1.0,5,4,1
2017,9499,24526,145,65.7,1.0,5,4,1
2017,10290,4070,145,64.2,1.1,5,4,1
2014,7495,29840,0,76.4,1.5,5,0,1
2017,17995,12995,145,60.1,2.0,13,0,1
2019,14995,12,145,55.4,1.0,5,4,1
2019,16495,6145,145,52.3,1.0,2,4,1
2019,18995,5000,145,58.9,2.0,14,0,0
2018,14995,9900,145,58.9,1.5,2,0,1
2018,12995,5735,145,58.9,1.0,5,4,1
2019,14995,12075,145,60.1,1.0,6,4,1
2018,11900,29951,145,65.7,1.0,5,4,1
2019,18100,4402,145,64.2,1.5,2,0,1
2017,9500,22234,145,65.7,1.0,5,4,1
2019,14600,11337,145,58.9,1.0,5,4,1
2018,10500,32160,145,65.7,1.0,5,4,1
2018,10700,6533,150,55.4,1.1,5,4,1
2017,12700,16088,150,51.4,1.0,6,4,2
2018,16200,11654,150,40.3,1.5,5,4,1
2018,13100,3356,150,54.3,1.0,5,4,2
2013,6700,47769,20,67.3,1.6,6,0,1
2018,16200,15408,150,60.1,2.0,13,0,1
2016,10100,15777,30,64.2,1.5,9,0,1
2014,6795,69547,20,67.3,1.6,6,0,1
2017,10699,41197,150,47.9,1.6,5,4,1
2018,7995,7800,150,57.7,1.2,12,4,1
2019,18995,50,150,40.3,1.5,5,4,1
2017,6695,24000,30,57.7,1.2,12,4,1
2013,7402,24937,30,62.8,1.6,1,0,1
2017,6999,21792,30,57.7,1.2,12,4,1
2018,11995,16172,145,51.4,1.0,6,4,2
2017,6991,15969,125,54.3,1.2,5,4,1
2017,7695,6368,145,57.7,1.2,12,4,1
2016,7980,42045,20,62.8,1.0,5,4,1
2019,9995,4150,150,47.9,1.2,12,4,1
2019,25995,5000,150,32.8,2.0,21,0,0
2017,9277,28294,145,65.7,1.0,5,4,1
2018,18481,21217,145,41.5,2.0,6,4,1
2015,7890,47325,0,74.3,1.5,6,0,1
2018,13820,14835,145,57.7,1.0,6,4,1
2018,16277,6507,145,60.1,1.0,6,4,1
2019,16100,7539,150,60.1,1.0,6,4,1
2017,11600,26476,150,60.1,1.0,6,4,1
2018,9600,11038,150,64.2,1.1,5,4,1
2018,12800,6945,150,60.1,1.0,6,4,1
2018,14900,15692,150,65.7,2.0,14,0,1
2018,14500,3753,150,54.3,1.0,2,4,1
2017,9700,20885,150,54.3,1.2,5,4,1
2017,11500,29881,30,54.3,1.0,9,4,1
2018,10500,13336,150,65.7,1.0,5,4,1
2016,9300,16595,0,65.7,1.0,5,4,1
2018,11400,10213,145,65.7,1.0,5,4,1
2018,10900,5541,145,64.2,1.1,5,4,1
2019,16900,5044,145,51.4,1.0,2,4,1
2014,8900,28600,0,65.7,1.0,5,4,1
2018,15300,6898,150,58.9,1.0,6,4,1
2017,9200,28330,150,65.7,1.0,5,4,1
2018,14600,3397,150,54.3,1.0,2,4,1
2019,17300,11740,145,60.1,1.0,6,4,1
2018,9700,10815,145,64.2,1.1,5,4,1
2017,14900,21419,145,60.1,2.0,13,0,1
2018,17100,13843,145,45.6,1.5,13,4,1
2018,10700,9575,145,64.2,1.1,5,4,1
2018,16500,14023,145,60.1,1.0,6,4,1
2013,7000,45024,0,65.7,1.0,5,4,1
2017,10500,22649,150,55.4,1.0,0,4,1
2018,11000,5763,145,55.4,1.1,5,4,1
2018,11300,33291,145,65.7,1.0,5,4,1
2018,10000,34553,145,65.7,1.0,5,4,1
2020,22000,10,145,65.7,2.0,14,0,1
2016,17500,48585,160,48.7,2.0,3,0,1
2020,22500,484,145,50.4,1.0,16,4,1
2017,11200,19168,145,65.7,1.0,5,4,1
2018,15500,5192,145,52.3,1.0,2,4,1
2017,12500,26294,145,47.9,1.6,5,4,1
2013,7000,35987,30,54.3,1.2,5,4,1
2017,11750,7564,150,65.7,1.0,5,4,1
2013,6000,58381,150,47.1,1.4,0,4,1
2017,9500,18342,150,65.7,1.0,5,4,1
2018,12500,13000,145,65.7,1.0,5,4,1
2018,10500,21637,150,65.7,1.0,5,4,1
2017,10250,19825,150,61.4,1.0,6,4,1
2018,11500,20556,150,65.7,1.0,5,4,1
2020,21000,25,145,65.7,2.0,14,0,1
2020,17800,10,145,58.9,1.0,5,4,1
2017,9800,11365,125,54.3,1.2,5,4,1
2019,20500,27,145,65.7,2.0,14,0,1
2019,20500,24,145,65.7,2.0,14,0,1
2019,20500,15,145,65.7,2.0,14,0,1
2019,20800,207,145,50.4,1.0,16,4,1
2018,9600,15400,145,64.2,1.1,5,4,1
2019,16200,7400,145,58.9,1.0,6,4,1
2018,12500,14881,145,65.7,1.0,5,4,1
2018,11200,17971,145,58.9,1.0,5,4,1
2018,11800,7500,145,58.9,1.0,5,4,1
2017,10500,8965,145,64.2,1.1,5,4,1
2016,9200,17833,125,54.3,1.2,5,4,1
2017,9999,21687,145,65.7,1.0,5,4,1
2017,6977,33440,145,57.7,1.2,12,4,1
2015,11978,64494,145,54.3,2.0,13,0,1
2015,7250,66144,0,74.3,1.5,6,0,1
2014,7000,33000,145,47.9,1.6,5,4,2
2020,22000,10,145,65.7,2.0,14,0,1
2020,22000,10,145,65.7,2.0,14,0,1
2019,16200,8166,145,58.9,1.0,6,4,1
2018,9700,6302,145,64.2,1.1,5,4,1
2020,22000,47,145,65.7,2.0,14,0,1
2020,22000,10,145,65.7,2.0,14,0,1
