year,price,mileage,tax,mpg,engineSize,model,fuelType,transmission
2017,8995,31559,145,65.7,1.0,5,4,1
2017,8295,23000,145,57.7,1.2,12,4,1
2018,14698,6442,145,54.3,1.0,2,4,1
2016,10498,29590,0,57.7,1.0,5,4,2
2018,14495,17030,145,57.7,1.0,6,4,1
2016,8995,22493,20,60.1,1.0,6,4,1
2016,15995,29600,20,67.3,2.0,6,0,1
2016,10995,26500,125,58.9,2.0,1,0,2
2017,19995,14000,200,44.8,2.0,21,0,1
2013,8295,34783,30,61.4,1.6,1,0,1
2015,7995,56655,20,67.3,1.6,6,0,1
2019,19995,16000,150,47.9,2.0,13,0,1
2015,9995,30753,0,78.5,1.5,14,0,1
2018,13495,1030,145,47.9,1.0,9,4,1
2017,12995,7817,145,55.4,1.0,1,4,1
2018,12995,9781,145,60.1,1.0,6,4,1
2018,12998,17241,145,54.3,1.0,2,4,1
2015,10298,28309,125,58.9,1.6,20,0,1
2017,10498,50599,0,65.7,1.0,5,4,1
2018,11298,37880,150,74.3,1.5,6,0,2
2016,10698,56888,125,60.1,2.0,13,0,1
2018,15995,10500,145,60.1,1.0,6,4,1
2014,6995,50800,160,44.1,1.6,0,4,2
2019,13950,6700,145,58.9,1.0,5,4,1
2017,10650,31800,150,65.7,1.0,5,4,1
2016,7995,20700,125,54.3,1.2,5,4,1
2016,11495,29900,0,74.3,1.5,6,0,1
2018,16995,32858,145,54.3,2.0,13,0,1
2018,11995,31593,145,65.7,1.0,5,4,1
2015,10995,13791,125,51.4,1.5,6,4,1
2019,20495,12034,145,47.9,2.0,13,0,1
2018,19995,10923,145,67.3,2.0,6,0,1
2019,19995,10171,145,38.2,2.0,13,0,1
2016,10995,30923,0,74.3,1.5,6,0,1
2019,18995,2291,145,52.3,1.0,2,4,1
2017,11995,23469,125,51.4,1.5,6,4,1
2017,16998,13626,125,60.1,2.0,13,0,1
2016,7398,35180,125,54.3,1.2,5,4,1
2019,11498,17708,145,58.9,1.0,5,4,1
2019,13998,9957,145,58.9,1.0,5,4,1
2019,16698,4542,145,60.1,1.0,6,4,1
2016,9998,38358,0,78.5,1.5,14,0,1
2015,12998,25878,20,67.3,2.0,6,0,1
2016,9998,18325,160,44.8,1.5,2,4,2
2017,12498,9338,145,60.1,1.0,6,4,1
2018,14998,7133,145,58.9,1.5,2,0,1
2017,10498,42002,20,60.1,1.0,6,4,1
2017,16995,3700,145,38.2,1.5,13,4,0
2019,15495,5600,145,60.1,1.0,6,4,1
2015,9495,17288,0,65.7,1.0,5,4,1
2013,5995,42996,20,70.6,1.6,0,0,1
2014,7498,47566,30,56.5,1.0,6,4,1
2017,11798,4262,0,65.7,1.0,5,4,1
2017,10998,10125,145,65.7,1.0,5,4,1
2017,14998,17028,150,46.3,1.5,6,4,0
2017,8998,12753,145,54.3,1.2,5,4,1
2016,13998,24895,20,67.3,2.0,6,0,1
2017,17998,9066,145,41.5,2.0,6,4,1
2019,18998,3292,145,40.3,1.5,5,4,1
2013,9198,48130,200,45.6,2.0,13,0,2
2015,14498,27513,145,54.3,2.0,13,0,1
2017,14998,32511,150,41.5,2.0,6,4,1
2016,8498,21888,125,54.3,1.2,5,4,1
2019,13995,11130,145,58.9,1.0,5,4,1
2017,18498,14441,145,41.5,2.0,6,4,1
2018,13998,13401,145,60.1,1.0,6,4,1
2019,12798,10567,145,58.9,1.0,5,4,1
2019,14698,7872,145,58.9,1.0,5,4,1
2017,7698,10641,30,57.7,1.2,12,4,1
2018,12498,10222,145,54.3,1.0,2,4,1
2017,9998,28519,20,62.8,1.0,5,4,1
2017,13998,51772,125,60.1,2.0,13,0,1
2016,9500,7350,0,57.7,1.0,5,4,0
2018,8195,12231,145,47.9,1.2,12,4,1
2019,21498,5354,150,31.0,1.5,13,4,0
2017,17998,19525,145,41.5,2.0,6,4,1
2018,14498,11922,145,54.3,1.0,2,4,1
2016,9998,16984,20,68.9,1.5,1,0,1
2016,7998,16070,125,54.3,1.2,5,4,1
2018,10998,26648,145,61.4,1.0,6,4,1
2017,10998,19140,145,62.8,1.0,5,4,1
2016,9998,26399,0,74.3,1.5,6,0,1
2013,5498,53545,30,54.3,1.2,5,4,1
2017,9298,25491,0,65.7,1.0,5,4,1
2014,7298,31359,0,65.7,1.0,5,4,1
2016,8498,51656,0,74.3,1.5,6,0,1
2016,17698,11221,145,54.3,2.0,13,0,2
2017,14498,23356,145,60.1,2.0,13,0,1
2018,12898,15267,145,53.3,1.0,2,4,1
2017,7998,41294,0,74.4,1.5,0,0,1
2018,12198,7993,145,49.6,1.0,1,4,1
2017,9698,30207,145,53.3,1.0,2,4,1
2016,8798,19815,0,65.7,1.0,5,4,1
2015,14298,43717,145,54.3,2.0,13,0,1
2018,15798,4534,145,58.9,1.0,6,4,1
2017,10298,9148,145,65.7,1.0,5,4,1
2014,4898,22609,30,57.7,1.2,11,4,1
2016,10298,15510,0,74.3,1.5,6,0,1
2017,9998,20347,0,65.7,1.0,5,4,1
2018,16698,3044,145,39.2,1.5,13,4,1
2017,8998,5233,125,54.3,1.2,5,4,1
2015,8998,28359,125,60.1,1.6,9,0,1
2017,12498,12244,125,51.4,1.0,6,4,2
2018,12498,17918,145,65.7,1.0,5,4,1
2020,34498,4623,145,43.5,2.0,18,0,2
2017,9298,16770,145,44.8,1.5,2,4,1
2017,10900,25459,145,60.1,1.0,6,4,1
2017,9998,23913,125,53.3,1.0,2,4,1
2018,12998,9901,150,65.7,1.0,5,4,1
2016,10998,15006,125,51.4,1.0,6,4,2
2017,15500,19593,145,41.5,2.0,6,4,1
2017,16200,23027,145,58.9,1.5,13,0,2
2016,10500,13580,20,64.2,1.5,1,0,2
2015,13200,32000,20,67.3,2.0,6,0,1
2019,18698,15365,145,60.1,1.0,6,4,1
2019,16998,7924,145,80.7,1.5,6,0,1
2017,9998,10721,145,65.7,1.0,5,4,1
2017,9498,25939,145,53.3,1.0,2,4,1
2019,17498,3265,145,58.9,1.0,5,4,1
2019,15998,11045,145,41.5,1.0,6,4,0
2020,17998,250,145,51.4,1.0,2,4,1
2013,5698,44901,145,47.1,1.4,0,4,1
2017,9998,22001,20,60.1,1.0,6,4,1
2020,17298,4563,145,54.3,1.0,5,4,1
2019,16998,12236,145,55.4,1.0,5,4,1
2019,23998,7584,145,39.2,2.0,13,0,1
